id,name,type,out_strength,in_strength,betweenness
Beatrice Macdonald,Beatrice Macdonald,archive_holder,15,0,8.373976307947321e-06
Beaumont approximately Smith,Beaumont approximately Smith,archive_holder,8,0,0.0020432428889778126
Bernard Cronin,Bernard Cronin,archive_holder,10,2,0.0029566846047012463
Bernard Hardy,Bernard Hardy,archive_holder,1,0,0.0
Bernard Smith,Bernard Smith,archive_holder,18,3,0.009534293120305548
Bert Castellari,Bert Castellari,archive_holder,5,0,1.19628232970676e-06
Beth Dean,Beth Dean,archive_holder,5,0,0.0
Bethia Foott,Bethia Foott,archive_holder,3,0,0.00042692953215591774
Betty Blunden,Betty Blunden,archive_holder,9,0,0.0017229796375268585
Betty Howard,Betty Howard,archive_holder,4,0,0.000473727802563877
Betty Roland,Betty Roland,archive_holder,3,1,0.000473727802563877
Bill Ryland,Bill Ryland,archive_holder,1,1,0.0
Bill Scott,Bill Scott,archive_holder,22,2,0.0064916584503457225
Bill Wannan,Bill Wannan,archive_holder,19,1,0.0038031621897473373
Bob Douglas,Bob Douglas,archive_holder,2,0,2.9907058242669e-07
Bob Ellis,Bob Ellis,archive_holder,11,4,0.0050116086274163115
Booth W Norman,Booth W Norman,archive_holder,1,0,0.0
Brenda Niall,Brenda Niall,archive_holder,20,4,0.009104589576343115
Brenda Walker,Brenda Walker,archive_holder,1,0,0.0
Brian Brian Francis Kiernan,Brian Brian Francis Kiernan,archive_holder,9,0,0.002482300129940362
Brian Essai,Brian Essai,archive_holder,3,0,5.9814116485338e-07
Bruce Bennett,Bruce Bennett,archive_holder,15,5,0.0033494563472150174
Bruce Pascoe,Bruce Pascoe,archive_holder,1,1,0.00015790926752129233
Bruce Steele,Bruce Steele,archive_holder,4,0,0.00031581853504258466
Bryan KeonCohen,Bryan KeonCohen,archive_holder,7,0,1.49535291213345e-06
C A Cecil Austin Gibb,C A Cecil Austin Gibb,archive_holder,1,0,0.0
C J Christopher John Koch,C J Christopher John Koch,archive_holder,13,0,0.0013549987130981656
C J Clarence James Dennis,C J Clarence James Dennis,archive_holder,29,0,0.005665425385544571
C J Clement John Lloyd,C J Clement John Lloyd,archive_holder,5,0,0.001728927037008695
C P Charles Patrick FitzGerald,C P Charles Patrick FitzGerald,archive_holder,3,0,0.0
C R Catherine R Dalton,C R Catherine R Dalton,archive_holder,1,0,0.0
C T Charles Talbut Onions,C T Charles Talbut Onions,archive_holder,8,0,0.002201757627825292
Cameron Hazlehurst,Cameron Hazlehurst,archive_holder,5,0,0.0
Carmel Bird,Carmel Bird,archive_holder,6,1,0.0011312660066081308
Carol Jerrems,Carol Jerrems,archive_holder,6,0,0.0
Carole Deagan,Carole Deagan,archive_holder,10,1,0.0011318796485923388
Cassandra Jane Pybus,Cassandra Jane Pybus,archive_holder,13,0,0.004461642306600884
Catherine Helen Spence,Catherine Helen Spence,archive_holder,2,1,0.002511594751219343
Catherine Lindsay,Catherine Lindsay,archive_holder,1,0,0.0
